"Rank","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"119","","Marcus Mariota","TEN","QB16","8","54","176","122.1","25.0","133.0","+14.0"
"120","","Jared Goff","LAR","QB17","12","68","168","122.5","20.7","107.0","-13.0"
"121","","Alex Smith","WAS","QB18","4","59","200","123.2","23.0","136.0","+15.0"
"122","","Bilal Powell","NYJ","RB43","11","61","212","126.1","29.3","149.0","+27.0"
"123","","D.J. Moore","CAR","WR49","4","69","226","127.3","24.0","122.0","-1.0"
"124","","Rishard Matthews","TEN","WR50","8","54","257","128.8","34.8","171.0","+47.0"
"125","","James White","NE","RB44","11","64","281","132.2","34.3","125.0","0.0"
"126","","Giovani Bernard","CIN","RB45","9","87","254","131.6","26.5","146.0","+20.0"
"127","","Ty Montgomery","GB","RB46","7","81","194","132.7","25.5","126.0","-1.0"
"128","","Josh Doctson","WAS","WR51","4","85","243","134.6","28.2","150.0","+22.0"
"129","","Tyler Lockett","SEA","WR52","7","67","245","136.3","34.6","155.0","+26.0"
"130","","Dak Prescott","DAL","QB19","8","78","197","131.5","22.1","138.0","+8.0"
"131","","Mike Williams","LAC","WR53","8","85","251","137.0","33.1","131.0","0.0"
"132","","O.J. Howard","TB","TE14","5","67","237","139.4","28.6","152.0","+20.0"
"133","","Keelan Cole","JAC","WR54","9","65","237","136.0","37.3","189.0","+56.0"
"134","","Nick Chubb","CLE","RB47","11","83","213","134.9","26.2","111.0","-23.0"
"135","","Devontae Booker","DEN","RB48","10","75","278","140.5","31.8","128.0","-7.0"
"136","","Tyler Eifert","CIN","TE15","9","72","269","143.4","32.5","139.0","+3.0"
"137","","Cameron Meredith","NO","WR55","6","75","224","139.7","30.9","142.0","+5.0"
"138","","Adrian Peterson","WAS","RB49","4","55","284","132.2","45.7","121.0","-17.0"
"139","","Latavius Murray","MIN","RB50","10","76","252","143.1","29.4","129.0","-10.0"
"140","","Corey Clement","PHI","RB51","9","77","273","143.1","32.6","137.0","-3.0"
"141","","Chris Godwin","TB","WR56","5","85","220","142.8","30.4","192.0","+51.0"
"142","","Jacksonville (JAC)","","DST1","9","77","259","144.8","33.8","106.0","-36.0"
"143","","John Brown","BAL","WR57","10","83","234","143.7","36.3","166.0","+23.0"
"144","","Michael Gallup","DAL","WR58","8","85","248","143.9","31.9","145.0","+1.0"
"145","","Matt Breida","SF","RB52","11","76","270","151.5","35.0","153.0","+8.0"
"146","","Anthony Miller","CHI","WR59","5","103","259","145.7","31.7","163.0","+17.0"
"147","","Tyrell Williams","LAC","WR60","8","94","251","150.4","36.8","177.0","+30.0"
"148","","DeSean Jackson","TB","WR61","5","80","248","149.3","31.4","173.0","+25.0"
"149","","Cameron Brate","TB","TE16","5","98","248","155.9","30.0","180.0","+31.0"
"150","","Derek Carr","OAK","QB20","7","102","242","151.4","27.0","135.0","-15.0"
"151","","Calvin Ridley","ATL","WR62","8","89","234","151.2","29.4","119.0","-32.0"
"152","","Eric Ebron","IND","TE17","9","94","239","157.4","29.4","195.0","+43.0"
"153","","Blake Bortles","JAC","QB21","9","75","219","151.2","29.9","194.0","+41.0"
"154","","Dede Westbrook","JAC","WR63","9","77","236","150.6","31.7","175.0","+21.0"
"155","","Minnesota (MIN)","","DST2","10","84","261","153.1","30.3","124.0","-31.0"
"156","","Charles Clay","BUF","TE18","11","80","235","155.7","25.7","233.0","+77.0"
