"Rank","Tier","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"396","14","","Marcus Murphy","FA","RB118","","246","487","325.9","80.3","",""
"397","14","","Kyle Juszczyk","SF","RB119","4","238","299","272.3","19.3","353.0","-44.0"
"398","14","","Ryan Grant","OAK","WR129","6","218","414","327.3","51.5","",""
"399","14","","Gary Jennings","SEA","WR130","11","235","450","332.6","54.2","388.0","-11.0"
"400","14","","J.D. McKissic","DET","RB120","5","269","311","283.0","14.0","",""
"401","14","","Elijah Holyfield","FA","RB121","","183","458","290.5","85.1","",""
"402","14","","Alex Barnes","FA","RB122","","205","277","258.4","27.1","",""
"403","14","","Dustin Hopkins","WAS","K29","10","250","330","298.7","23.1","322.0","-81.0"
"404","14","","Allen Hurns","MIA","WR131","5","227","430","348.1","44.6","",""
"405","14","","Buddy Howell","HOU","RB123","10","120","448","328.7","76.8","",""
"406","14","","Riley Ridley","CHI","WR132","6","230","416","337.0","55.4","274.0","-132.0"
"407","14","","Demetrius Harris","CLE","TE53","7","260","348","312.0","28.0","374.0","-33.0"
"408","14","","Cody Parkey","FA","K30","","162","297","224.5","54.2","",""
"409","14","","Joey Slye","CAR","K31","7","217","436","278.2","81.2","306.0","-103.0"
"410","14","","Javorius Allen","FA","RB124","","253","315","278.2","22.4","",""
"411","14","","LeGarrette Blount","FA","RB125","","271","316","283.4","16.5","",""
"412","14","","Dontrelle Inman","LAC","WR133","12","266","447","343.9","67.0","393.0","-19.0"
"413","14","","Jordan Akins","HOU","TE54","10","220","433","322.7","64.6","",""
"414","14","","Foster Moreau","OAK","TE55","6","274","408","325.2","52.2","398.0","-16.0"
"415","14","","Alex Collins","FA","RB126","","218","275","245.0","20.7","325.0","-90.0"
"416","14","","Eddy Pineiro","CHI","K32","6","240","434","326.8","55.4","291.0","-125.0"
"417","14","","Teddy Bridgewater","NO","QB41","9","242","477","330.2","73.4","",""
"418","14","","Darius Slayton","NYG","WR134","11","261","390","331.2","41.0","",""
"419","14","","J'Mon Moore","FA","WR135","","259","464","333.0","74.6","",""
"420","14","","Mo Alie-Cox","IND","TE56","6","274","403","334.3","47.5","",""
"421","14","","Kahale Warring","HOU","TE57","10","227","380","306.2","50.4","",""
"422","14","","Emmanuel Butler","NO","WR136","9","257","344","307.0","34.1","",""
"423","14","","Ryan Finley","CIN","QB42","9","247","487","345.7","91.1","",""
"424","14","","Jarius Wright","CAR","WR137","7","205","374","318.0","62.9","355.0","-69.0"
"425","14","","Zane Gonzalez","ARI","K33","12","270","423","320.0","53.5","",""
"426","14","","Paul Perkins","NYG","RB127","11","265","438","321.0","62.3","",""
"427","14","","Alex Erickson","CIN","WR138","9","293","383","349.2","27.9","",""
"428","14","","Oakland (OAK)","","DST31","6","241","353","321.4","32.8","",""
"429","14","","Kendrick Bourne","SF","WR139","4","262","392","324.2","42.6","333.0","-96.0"
"430","14","","Chris Thompson","FA","WR140","","110","324","215.0","87.4","",""
"431","14","","Brian Hoyer","IND","QB43","6","283","482","327.8","77.2","",""
"432","14","","Detrez Newsome","LAC","RB128","12","230","392","287.8","65.9","",""
"433","14","","D'Ernest Johnson","CLE","RB129","7","214","473","328.2","105.5","",""
"434","14","","Jason Sanders","MIA","K34","5","297","354","328.6","21.5","373.0","-61.0"
"435","14","","Kaare Vedvik","NYJ","K35","4","262","330","289.5","25.1","",""
"436","14","","Jeff Heuerman","DEN","TE58","10","208","368","330.2","32.7","379.0","-57.0"
"437","14","","Corey Grant","FA","RB130","","259","321","291.3","22.1","",""
"438","14","","C.J. Prosise","SEA","RB131","11","214","416","336.0","55.6","385.0","-53.0"
"439","14","","Brett Hundley","ARI","QB44","12","248","430","336.6","77.7","",""
"440","14","","Josh Hill","NO","TE59","9","272","376","336.6","34.7","",""
"441","14","","Randy Bullock","CIN","K36","9","275","331","304.0","21.9","328.0","-113.0"
"442","14","","Dwayne Allen","FA","TE60","","223","440","343.4","74.0","",""
"443","14","","Tyrod Taylor","LAC","QB45","12","276","462","348.2","83.1","",""
"444","14","","Will Grier","CAR","QB46","7","244","427","349.2","73.9","",""
"445","14","","Dez Bryant","FA","WR141","","226","276","256.7","21.9","",""
"446","14","","Blake Bell","KC","TE61","12","290","459","350.2","60.4","",""
"447","14","","Isaiah McKenzie","BUF","WR142","6","196","429","351.8","82.0","358.0","-89.0"
"448","14","","Cincinnati (CIN)","","DST32","9","263","413","357.2","42.1","297.0","-151.0"
"449","14","","Josh Malone","FA","WR143","","269","426","325.3","62.8","",""
"450","14","","Chandler Catanzaro","FA","K37","","230","334","271.7","44.9","",""
"451","14","","Chester Rogers","IND","WR144","6","237","435","361.2","47.3","344.0","-107.0"
"452","14","","John Ursua","SEA","WR145","11","246","321","275.7","32.6","",""
"453","14","","Torrey Smith","FA","WR146","","289","415","362.0","44.1","",""
"454","14","","Laquon Treadwell","FA","WR147","","259","390","330.3","56.1","331.0","-123.0"
"455","14","","Chris Ivory","FA","RB132","","286","441","332.8","63.7","371.0","-84.0"
"456","14","","Seth Roberts","BAL","WR148","8","267","411","333.5","61.4","352.0","-104.0"
"457","14","","J.J. Nelson","OAK","WR149","6","323","362","340.8","14.1","",""
"458","14","","Jeremy Hill","FA","RB133","","253","324","291.7","29.3","",""
"459","14","","Boston Scott","PHI","RB134","10","278","299","292.0","9.9","",""
"460","14","","Tavon Austin","DAL","WR150","8","257","393","374.2","18.9","",""
"461","14","","Josh Ferguson","FA","RB135","","159","264","211.5","52.5","",""
"462","14","","Cody Core","NYG","WR151","11","270","458","381.8","62.1","",""
"463","14","","Luke Willson","FA","TE62","","333","388","357.5","21.0","",""
"464","14","","Chase Daniel","CHI","QB47","6","292","474","384.0","79.7","",""
"465","14","","Rhett Ellison","NYG","TE63","11","286","345","315.3","24.1","",""
"466","14","","Dan Arnold","NO","TE64","9","307","410","361.3","37.7","",""
"467","14","","Mack Hollins","PHI","WR152","10","291","462","388.2","56.3","",""
"468","14","","Trent Sherfield","ARI","WR153","12","285","393","321.7","50.4","",""
"469","14","","James O'Shaughnessy","JAC","TE65","10","318","410","363.8","37.9","",""
"470","14","","Bennie Fowler","NYG","WR154","11","277","378","323.0","41.7","",""
"471","14","","Austin Seferian-Jenkins","FA","TE66","","288","369","323.0","34.0","",""
"472","14","","Trevon Wesco","NYJ","TE67","4","276","358","323.7","34.8","",""
"473","14","","Maurice Harris","FA","WR155","","269","357","325.7","40.1","",""
"474","14","","Jason Croom","BUF","TE68","6","292","364","325.7","29.6","",""
"475","14","","Dwayne Washington","NO","RB136","9","289","391","326.3","45.9","",""
"476","14","","James Develin","NE","RB137","10","297","386","327.0","41.7","364.0","-112.0"
"477","14","","Justin Hardy","ATL","WR156","9","271","457","369.3","66.8","",""
"478","15","","Xavier Grimble","PIT","TE69","7","284","453","370.0","60.6","",""
"479","15","","Pierre Garcon","FA","WR157","","240","263","251.5","11.5","",""
"480","15","","Emanuel Hall","TB","WR158","7","271","420","333.7","63.1","",""
"481","15","","Luke Stocker","ATL","TE70","9","222","411","335.3","81.6","",""
"482","15","","Josh Bellamy","NYJ","WR159","4","302","407","375.0","42.5","",""
"483","15","","Nick Boyle","BAL","TE71","8","247","461","375.5","78.7","",""
"484","15","","Tajae Sharpe","TEN","WR160","11","263","452","376.0","71.0","356.0","-128.0"
"485","15","","Benny Cunningham","FA","RB138","","250","280","265.0","15.0","",""
"486","15","","Maxx Williams","ARI","TE72","12","251","463","377.5","77.8","",""
"487","15","","Darius Jackson","FA","RB139","","298","420","340.3","56.4","",""
"488","15","","Colt McCoy","WAS","QB48","10","284","456","341.7","80.8","",""
"489","15","","CJ Ham","MIN","RB140","12","291","414","342.3","52.2","",""
"490","15","","Lee Smith","BUF","TE73","6","262","444","343.7","75.5","",""
"491","15","","DeAndre Carter","HOU","WR161","10","316","398","344.0","38.2","",""
"492","15","","Robert Griffin","BAL","QB49","8","282","460","381.5","68.7","",""
"493","15","","Nick O'Leary","MIA","TE74","5","331","370","347.7","16.4","",""
"494","15","","Marcell Ateman","OAK","WR162","6","337","413","383.3","29.1","",""
"495","15","","Andre Roberts","BUF","WR163","6","284","410","348.0","51.5","",""
"496","15","","Byron Pringle","KC","WR164","12","299","449","386.3","57.8","",""
"497","15","","Samaje Perine","CIN","RB141","9","251","316","283.5","32.5","",""
"498","15","","Russell Shepard","NYG","WR165","11","294","407","355.3","46.6","",""
"499","15","","DeShone Kizer","OAK","QB50","6","292","292","292.0","0.0","",""
"500","15","","Jordan Matthews","FA","WR166","","347","375","360.3","11.5","351.0","-149.0"
"501","15","","Deontay Burnett","FA","WR167","","282","409","362.0","56.9","",""
"502","15","","Matt Barkley","BUF","QB51","6","283","466","396.0","76.3","",""
"503","15","","Ed Dickson","SEA","TE75","11","362","439","397.3","32.2","",""
"504","15","","Juwann Winfree","DEN","WR168","10","304","448","367.7","60.0","",""
"505","15","","Scott Miller","TB","WR169","7","345","472","398.8","47.5","",""
"506","15","","Logan Paulsen","HOU","TE76","10","285","438","372.0","64.2","",""
"507","15","","Jazz Ferguson","SEA","WR170","11","257","374","315.5","58.5","",""
"508","15","","Noah Brown","DAL","WR171","8","279","464","377.0","75.9","",""
"509","15","","Brandon Powell","FA","WR172","","274","448","378.0","75.0","",""
"510","15","","Virgil Green","LAC","TE77","12","329","451","379.7","51.9","",""
"511","15","","Dylan Cantrell","LAC","WR173","12","342","412","381.7","29.3","",""
"512","15","","Auden Tate","CIN","WR174","9","270","388","329.0","59.0","",""
"513","15","","Mason Rudolph","PIT","QB52","7","299","363","331.0","32.0","384.0","-129.0"
"514","15","","Zach Pascal","IND","WR175","6","320","465","384.0","60.4","366.0","-148.0"
"515","15","","Darren Fells","HOU","TE78","10","236","483","387.0","108.1","",""
"516","15","","Russell Gage","ATL","WR176","9","310","457","388.7","60.5","",""
"517","15","","Elijhaa Penny","NYG","RB142","11","279","404","341.5","62.5","",""
"518","15","","Zach Line","NO","RB143","9","286","406","346.0","60.0","",""
"519","15","","Garrett Celek","SF","TE79","4","368","455","419.0","36.8","",""
"520","15","","Richie James","SF","WR177","4","370","425","399.7","22.7","",""
"521","15","","Travis Fulgham","DET","WR178","5","315","396","355.5","40.5","",""
"522","15","","Eric Saubert","OAK","TE80","6","328","387","357.5","29.5","",""
"523","15","","Greg Dortch","FA","WR179","","244","476","360.0","116.0","",""
"524","15","","Marvin Hall","FA","WR180","","359","362","360.5","1.5","",""
"525","15","","Taylor Bertolet","FA","K38","","337","387","362.0","25.0","",""
"526","15","","Stephen Anderson","NE","TE81","10","305","421","363.0","58.0","",""
"527","15","","David Fluellen","TEN","RB144","11","328","410","369.0","41.0","",""
"528","15","","Matt Schaub","ATL","QB53","9","270","479","374.5","104.5","",""
"529","15","","Anthony Sherman","KC","RB145","12","327","427","377.0","50.0","",""
"530","15","","Braxton Berrios","NYJ","WR181","4","361","400","380.5","19.5","",""
"531","15","","Derek Carrier","OAK","TE82","6","341","425","383.0","42.0","",""
"532","15","","Damion Ratley","CLE","WR182","7","298","471","384.5","86.5","",""
"533","15","","Reggie Bonnafon","CAR","RB146","7","298","473","385.5","87.5","",""
"534","15","","Eli Rogers","FA","WR183","","394","451","421.0","23.4","",""
"535","15","","Levine Toilolo","SF","TE83","4","355","423","389.0","34.0","",""
"536","15","","Jacob Hollister","SEA","TE84","11","344","442","393.0","49.0","",""
"537","15","","Taquan Mizzell","NO","RB147","9","383","405","394.0","11.0","",""
"538","15","","David Sills","NYG","WR184","11","366","428","397.0","31.0","",""
"539","15","","Eric Tomlinson","NYG","TE85","11","398","401","399.5","1.5","",""
"540","15","","Kenjon Barner","ATL","RB148","9","326","476","401.0","75.0","",""
"541","15","","Joshua Perkins","PHI","TE86","10","348","459","403.5","55.5","",""
"542","15","","Andy Janovich","DEN","RB149","10","379","429","404.0","25.0","",""
"543","15","","Drew Sample","CIN","TE87","9","395","482","435.0","35.9","",""
"544","15","","Patrick DiMarco","BUF","RB150","6","387","432","409.5","22.5","",""
"545","16","","Austin Carr","NO","WR185","9","361","462","411.5","50.5","",""
"546","16","","AJ McCarron","HOU","QB54","10","371","475","438.0","47.5","",""
"547","16","","Darius Jennings","TEN","WR186","11","350","477","413.5","63.5","",""
"548","16","","Ishmael Hyman","FA","WR187","","384","444","414.0","30.0","",""
"549","16","","Anthony Firkser","TEN","TE88","11","402","480","441.0","31.8","",""
"550","16","","Zach Gentry","PIT","TE89","7","399","436","417.5","18.5","",""
"551","16","","Jeremy Sprinkle","WAS","TE90","10","394","489","444.0","38.9","",""
"552","16","","Quinton Flowers","IND","QB55","6","373","478","425.5","52.5","",""
"553","16","","Jamize Olawale","DAL","RB151","8","385","480","432.5","47.5","",""
"554","16","","Dalton Schultz","DAL","TE91","8","403","484","443.5","40.5","",""
"555","16","","Chad Williams","IND","WR188","6","439","484","461.5","22.5","",""
"556","16","","Seth DeValve","JAC","TE92","10","437","488","462.5","25.5","",""
"557","16","","Jordan Leggett","TB","TE93","7","447","490","468.5","21.5","",""
""
""
